Site_ID,Market,Density,FY,Cost_Line_Description,Amount_USD,Traffic_TB_annual
SITE-10076,Rural West,Rural,2025,Field workforce (contract),21011.04,59.27
SITE-10076,Rural West,Rural,2025,OEM RAN maint.,14068.62,59.27
SITE-10076,Rural West,Rural,2025,Power & gen fuel,6610.51,59.27
SITE-10076,Rural West,Rural,2025,Small cell attach fees,5123.34,59.27
SITE-10076,Rural West,Rural,2025,NOC / dispatch (allocated),6860.16,59.27
SITE-10076,Rural West,Rural,2025,Spares & logistics,5048.82,59.27
SITE-10077,Rural West,Suburban,2025,Tower / Collocation,19814.27,19.41
SITE-10077,Rural West,Suburban,2025,MW transport — 3rd party,14819.3,19.41
SITE-10077,Rural West,Suburban,2025,Fiber backhaul circuit,10203.04,19.41
SITE-10077,Rural West,Suburban,2025,Field workforce (contract),16413.59,19.41
SITE-10077,Rural West,Suburban,2025,OEM RAN maint.,10955.34,19.41
SITE-10077,Rural West,Suburban,2025,Power & gen fuel,4772.72,19.41
SITE-10077,Rural West,Suburban,2025,Small cell attach fees,4422.38,19.41
SITE-10077,Rural West,Suburban,2025,NOC / dispatch (allocated),6312.75,19.41
SITE-10077,Rural West,Suburban,2025,Spares & logistics,4099.12,19.41
SITE-10078,Rural West,Urban,2025,Tower / Collocation,20838.16,53.42
SITE-10078,Rural West,Urban,2025,MW transport — 3rd party,13840.21,53.42
SITE-10078,Rural West,Urban,2025,Fiber backhaul circuit,9709.93,53.42
SITE-10078,Rural West,Urban,2025,Field workforce (contract),15254.69,53.42
SITE-10078,Rural West,Urban,2025,OEM RAN maint.,12263.59,53.42
SITE-10078,Rural West,Urban,2025,Power & gen fuel,5224.46,53.42
SITE-10078,Rural West,Urban,2025,Small cell attach fees,4246.94,53.42
SITE-10078,Rural West,Urban,2025,NOC / dispatch (allocated),5579.38,53.42
SITE-10078,Rural West,Urban,2025,Spares & logistics,4081.66,53.42
SITE-10079,North MS,Suburban,2025,Tower / Collocation,22206.37,74.54
SITE-10079,North MS,Suburban,2025,MW transport — 3rd party,15319.25,74.54
SITE-10079,North MS,Suburban,2025,Fiber backhaul circuit,11283.9,74.54
SITE-10079,North MS,Suburban,2025,Field workforce (contract),16480.83,74.54
SITE-10079,North MS,Suburban,2025,OEM RAN maint.,12252.01,74.54
SITE-10079,North MS,Suburban,2025,Power & gen fuel,4750.61,74.54
SITE-10079,North MS,Suburban,2025,Small cell attach fees,4003.7,74.54
SITE-10079,North MS,Suburban,2025,NOC / dispatch (allocated),5763.85,74.54
SITE-10079,North MS,Suburban,2025,Spares & logistics,4285.97,74.54
SITE-10080,Rural West,Urban,2025,Tower / Collocation,21085.96,61.66
SITE-10080,Rural West,Urban,2025,MW transport — 3rd party,13623.43,61.66
SITE-10080,Rural West,Urban,2025,Fiber backhaul circuit,10058.57,61.66
SITE-10080,Rural West,Urban,2025,Field workforce (contract),14468.44,61.66
SITE-10080,Rural West,Urban,2025,OEM RAN maint.,12067.28,61.66
SITE-10080,Rural West,Urban,2025,Power & gen fuel,5168.73,61.66
SITE-10080,Rural West,Urban,2025,Small cell attach fees,4409.89,61.66
SITE-10080,Rural West,Urban,2025,NOC / dispatch (allocated),5755.82,61.66
SITE-10080,Rural West,Urban,2025,Spares & logistics,4162.45,61.66
SITE-10081,Rural West,Suburban,2025,Tower / Collocation,21856.67,74.12
SITE-10081,Rural West,Suburban,2025,MW transport — 3rd party,13719.01,74.12
SITE-10081,Rural West,Suburban,2025,Fiber backhaul circuit,11211.81,74.12
SITE-10081,Rural West,Suburban,2025,Field workforce (contract),14371.36,74.12
SITE-10081,Rural West,Suburban,2025,OEM RAN maint.,12148.05,74.12
SITE-10081,Rural West,Suburban,2025,Power & gen fuel,4773.92,74.12
SITE-10081,Rural West,Suburban,2025,Small cell attach fees,4089.89,74.12
SITE-10081,Rural West,Suburban,2025,NOC / dispatch (allocated),6279.85,74.12
SITE-10081,Rural West,Suburban,2025,Spares & logistics,4032.05,74.12
SITE-10082,North MS,Suburban,2025,Tower / Collocation,21648.54,29.34
SITE-10082,North MS,Suburban,2025,MW transport — 3rd party,15203.39,29.34
SITE-10082,North MS,Suburban,2025,Fiber backhaul circuit,11099.61,29.34
SITE-10082,North MS,Suburban,2025,Field workforce (contract),14906.66,29.34
SITE-10082,North MS,Suburban,2025,OEM RAN maint.,11480.39,29.34
SITE-10082,North MS,Suburban,2025,Power & gen fuel,4894.7,29.34
SITE-10082,North MS,Suburban,2025,Small cell attach fees,4076.46,29.34
SITE-10082,North MS,Suburban,2025,NOC / dispatch (allocated),5627.51,29.34
SITE-10082,North MS,Suburban,2025,Spares & logistics,4549.21,29.34
SITE-10083,AL Panhandle,Rural,2025,Tower / Collocation,25450.92,105.88
SITE-10083,AL Panhandle,Rural,2025,MW transport — 3rd party,17416.22,105.88
SITE-10083,AL Panhandle,Rural,2025,Fiber backhaul circuit,12749.99,105.88
SITE-10083,AL Panhandle,Rural,2025,Field workforce (contract),21445.75,105.88
SITE-10083,AL Panhandle,Rural,2025,OEM RAN maint.,13698.26,105.88
SITE-10083,AL Panhandle,Rural,2025,Power & gen fuel,5815.88,105.88
SITE-10083,AL Panhandle,Rural,2025,Small cell attach fees,4841.55,105.88
SITE-10083,AL Panhandle,Rural,2025,NOC / dispatch (allocated),7731.72,105.88
SITE-10083,AL Panhandle,Rural,2025,Spares & logistics,5135.19,105.88
SITE-10084,North MS,Rural,2025,Tower / Collocation,24192.34,78.73
SITE-10084,North MS,Rural,2025,MW transport — 3rd party,16753.62,78.73
SITE-10084,North MS,Rural,2025,Fiber backhaul circuit,11735.45,78.73
SITE-10084,North MS,Rural,2025,Field workforce (contract),20021.11,78.73
SITE-10084,North MS,Rural,2025,OEM RAN maint.,14766.48,78.73
SITE-10084,North MS,Rural,2025,Power & gen fuel,6003.53,78.73
SITE-10084,North MS,Rural,2025,Small cell attach fees,5239.1,78.73
SITE-10084,North MS,Rural,2025,NOC / dispatch (allocated),7169.64,78.73
SITE-10084,North MS,Rural,2025,Spares & logistics,5067.97,78.73
SITE-10085,North MS,Suburban,2025,Tower / Collocation,22581.33,24.29
SITE-10085,North MS,Suburban,2025,MW transport — 3rd party,15127.33,24.29
SITE-10085,North MS,Suburban,2025,Fiber backhaul circuit,10876.83,24.29
SITE-10085,North MS,Suburban,2025,Field workforce (contract),15223.52,24.29
SITE-10085,North MS,Suburban,2025,OEM RAN maint.,10789.51,24.29
SITE-10085,North MS,Suburban,2025,Power & gen fuel,5443.26,24.29
SITE-10085,North MS,Suburban,2025,Small cell attach fees,4142.14,24.29
SITE-10085,North MS,Suburban,2025,NOC / dispatch (allocated),5521.7,24.29
SITE-10085,North MS,Suburban,2025,Spares & logistics,4142.83,24.29
SITE-10086,TN Border,Rural,2025,Tower / Collocation,26571.56,102.65
SITE-10086,TN Border,Rural,2025,MW transport — 3rd party,16638.56,102.65
SITE-10086,TN Border,Rural,2025,Fiber backhaul circuit,13550.02,102.65
SITE-10086,TN Border,Rural,2025,Field workforce (contract),21109.46,102.65
SITE-10086,TN Border,Rural,2025,OEM RAN maint.,14151.1,102.65
SITE-10086,TN Border,Rural,2025,Power & gen fuel,5687.88,102.65
SITE-10086,TN Border,Rural,2025,Small cell attach fees,5556.54,102.65
SITE-10086,TN Border,Rural,2025,NOC / dispatch (allocated),6957.24,102.65
SITE-10086,TN Border,Rural,2025,Spares & logistics,4789.14,102.65
SITE-10087,TN Border,Suburban,2025,Tower / Collocation,19778.93,19.23
SITE-10087,TN Border,Suburban,2025,MW transport — 3rd party,14698.9,19.23
SITE-10087,TN Border,Suburban,2025,Fiber backhaul circuit,10292.6,19.23
SITE-10087,TN Border,Suburban,2025,Field workforce (contract),16332.69,19.23
SITE-10087,TN Border,Suburban,2025,OEM RAN maint.,11093.45,19.23
SITE-10087,TN Border,Suburban,2025,Power & gen fuel,5284.56,19.23
SITE-10087,TN Border,Suburban,2025,Small cell attach fees,4223.55,19.23
SITE-10087,TN Border,Suburban,2025,NOC / dispatch (allocated),6102.27,19.23
SITE-10087,TN Border,Suburban,2025,Spares & logistics,4317.79,19.23
SITE-10088,TN Border,Suburban,2025,Tower / Collocation,19862.4,37.82
SITE-10088,TN Border,Suburban,2025,MW transport — 3rd party,14804.4,37.82
SITE-10088,TN Border,Suburban,2025,Fiber backhaul circuit,11051.74,37.82
SITE-10088,TN Border,Suburban,2025,Field workforce (contract),14174.54,37.82
SITE-10088,TN Border,Suburban,2025,OEM RAN maint.,11331.94,37.82
SITE-10088,TN Border,Suburban,2025,Power & gen fuel,5420.27,37.82
SITE-10088,TN Border,Suburban,2025,Small cell attach fees,4419.74,37.82
SITE-10088,TN Border,Suburban,2025,NOC / dispatch (allocated),6418.2,37.82
SITE-10088,TN Border,Suburban,2025,Spares & logistics,4271.36,37.82
SITE-10089,Rural West,Suburban,2025,Tower / Collocation,22443.71,34.32
SITE-10089,Rural West,Suburban,2025,MW transport — 3rd party,14086.4,34.32
SITE-10089,Rural West,Suburban,2025,Fiber backhaul circuit,10871.63,34.32
SITE-10089,Rural West,Suburban,2025,Field workforce (contract),15062.89,34.32
SITE-10089,Rural West,Suburban,2025,OEM RAN maint.,11537.0,34.32
SITE-10089,Rural West,Suburban,2025,Power & gen fuel,5279.34,34.32
SITE-10089,Rural West,Suburban,2025,Small cell attach fees,4256.08,34.32
SITE-10089,Rural West,Suburban,2025,NOC / dispatch (allocated),6337.55,34.32
SITE-10089,Rural West,Suburban,2025,Spares & logistics,4195.12,34.32
SITE-10090,AL Panhandle,Suburban,2025,Tower / Collocation,20743.11,43.51
SITE-10090,AL Panhandle,Suburban,2025,MW transport — 3rd party,13532.44,43.51
SITE-10090,AL Panhandle,Suburban,2025,Fiber backhaul circuit,9787.92,43.51
SITE-10090,AL Panhandle,Suburban,2025,Field workforce (contract),15710.02,43.51
SITE-10090,AL Panhandle,Suburban,2025,OEM RAN maint.,11708.26,43.51
SITE-10090,AL Panhandle,Suburban,2025,Power & gen fuel,5232.93,43.51
SITE-10090,AL Panhandle,Suburban,2025,Small cell attach fees,3923.44,43.51
SITE-10090,AL Panhandle,Suburban,2025,NOC / dispatch (allocated),5784.87,43.51
SITE-10090,AL Panhandle,Suburban,2025,Spares & logistics,4044.51,43.51
SITE-10091,South MS,Rural,2025,Tower / Collocation,24350.55,116.02
SITE-10091,South MS,Rural,2025,MW transport — 3rd party,17910.86,116.02
SITE-10091,South MS,Rural,2025,Fiber backhaul circuit,11937.08,116.02
SITE-10091,South MS,Rural,2025,Field workforce (contract),20553.96,116.02
SITE-10091,South MS,Rural,2025,OEM RAN maint.,13042.85,116.02
SITE-10091,South MS,Rural,2025,Power & gen fuel,5965.95,116.02
SITE-10091,South MS,Rural,2025,Small cell attach fees,5293.98,116.02
SITE-10091,South MS,Rural,2025,NOC / dispatch (allocated),7683.35,116.02
SITE-10091,South MS,Rural,2025,Spares & logistics,4904.88,116.02
SITE-10092,AL Panhandle,Suburban,2025,Tower / Collocation,21312.82,90.9
SITE-10092,AL Panhandle,Suburban,2025,MW transport — 3rd party,13830.23,90.9
SITE-10092,AL Panhandle,Suburban,2025,Fiber backhaul circuit,10682.24,90.9
SITE-10092,AL Panhandle,Suburban,2025,Field workforce (contract),14860.56,90.9
SITE-10092,AL Panhandle,Suburban,2025,OEM RAN maint.,12294.29,90.9
SITE-10092,AL Panhandle,Suburban,2025,Power & gen fuel,5018.14,90.9
SITE-10092,AL Panhandle,Suburban,2025,Small cell attach fees,4376.09,90.9
SITE-10092,AL Panhandle,Suburban,2025,NOC / dispatch (allocated),5496.11,90.9
SITE-10092,AL Panhandle,Suburban,2025,Spares & logistics,4182.04,90.9
SITE-10093,TN Border,Rural,2025,Tower / Collocation,25151.57,85.53
SITE-10093,TN Border,Rural,2025,MW transport — 3rd party,18659.04,85.53
SITE-10093,TN Border,Rural,2025,Fiber backhaul circuit,13408.31,85.53
SITE-10093,TN Border,Rural,2025,Field workforce (contract),20714.51,85.53
SITE-10093,TN Border,Rural,2025,OEM RAN maint.,13941.87,85.53
SITE-10093,TN Border,Rural,2025,Power & gen fuel,6169.94,85.53
SITE-10093,TN Border,Rural,2025,Small cell attach fees,5258.93,85.53
SITE-10093,TN Border,Rural,2025,NOC / dispatch (allocated),7018.63,85.53
SITE-10093,TN Border,Rural,2025,Spares & logistics,4939.22,85.53
SITE-10094,Rural West,Rural,2025,Tower / Collocation,27321.03,113.92
SITE-10094,Rural West,Rural,2025,MW transport — 3rd party,18126.15,113.92
SITE-10094,Rural West,Rural,2025,Fiber backhaul circuit,13226.96,113.92
SITE-10094,Rural West,Rural,2025,Field workforce (contract),22216.79,113.92
SITE-10094,Rural West,Rural,2025,OEM RAN maint.,13800.25,113.92
SITE-10094,Rural West,Rural,2025,Power & gen fuel,6136.94,113.92
SITE-10094,Rural West,Rural,2025,Small cell attach fees,4935.95,113.92
SITE-10094,Rural West,Rural,2025,NOC / dispatch (allocated),7377.06,113.92
SITE-10094,Rural West,Rural,2025,Spares & logistics,4976.4,113.92
SITE-10095,Rural West,Suburban,2025,Tower / Collocation,20642.35,58.98
SITE-10095,Rural West,Suburban,2025,MW transport — 3rd party,13746.74,58.98
SITE-10095,Rural West,Suburban,2025,Fiber backhaul circuit,11001.56,58.98
SITE-10095,Rural West,Suburban,2025,Field workforce (contract),16182.68,58.98
SITE-10095,Rural West,Suburban,2025,OEM RAN maint.,10816.61,58.98
SITE-10095,Rural West,Suburban,2025,Power & gen fuel,4698.13,58.98
SITE-10095,Rural West,Suburban,2025,Small cell attach fees,4138.57,58.98
SITE-10095,Rural West,Suburban,2025,NOC / dispatch (allocated),6233.23,58.98
SITE-10095,Rural West,Suburban,2025,Spares & logistics,4480.64,58.98
SITE-10096,TN Border,Urban,2025,Tower / Collocation,20575.6,18.07
SITE-10096,TN Border,Urban,2025,MW transport — 3rd party,15542.58,18.07
SITE-10096,TN Border,Urban,2025,Fiber backhaul circuit,9956.93,18.07
SITE-10096,TN Border,Urban,2025,Field workforce (contract),14452.9,18.07
SITE-10096,TN Border,Urban,2025,OEM RAN maint.,11282.89,18.07
SITE-10096,TN Border,Urban,2025,Power & gen fuel,5197.65,18.07
SITE-10096,TN Border,Urban,2025,Small cell attach fees,4544.37,18.07
SITE-10096,TN Border,Urban,2025,NOC / dispatch (allocated),6407.74,18.07
SITE-10096,TN Border,Urban,2025,Spares & logistics,3957.36,18.07
SITE-10097,TN Border,Urban,2025,Tower / Collocation,20175.38,76.79
SITE-10097,TN Border,Urban,2025,MW transport — 3rd party,15280.58,76.79
SITE-10097,TN Border,Urban,2025,Fiber backhaul circuit,10745.87,76.79
SITE-10097,TN Border,Urban,2025,Field workforce (contract),14349.8,76.79
SITE-10097,TN Border,Urban,2025,OEM RAN maint.,12031.81,76.79
SITE-10097,TN Border,Urban,2025,Power & gen fuel,4835.91,76.79
SITE-10097,TN Border,Urban,2025,Small cell attach fees,4197.98,76.79
SITE-10097,TN Border,Urban,2025,NOC / dispatch (allocated),5999.68,76.79
SITE-10097,TN Border,Urban,2025,Spares & logistics,4250.52,76.79
SITE-10098,TN Border,Suburban,2025,Tower / Collocation,22617.58,94.31
SITE-10098,TN Border,Suburban,2025,MW transport — 3rd party,14432.15,94.31
SITE-10098,TN Border,Suburban,2025,Fiber backhaul circuit,9793.75,94.31
SITE-10098,TN Border,Suburban,2025,Field workforce (contract),15857.76,94.31
SITE-10098,TN Border,Suburban,2025,OEM RAN maint.,12295.27,94.31
SITE-10098,TN Border,Suburban,2025,Power & gen fuel,4951.75,94.31
SITE-10098,TN Border,Suburban,2025,Small cell attach fees,4223.62,94.31
SITE-10098,TN Border,Suburban,2025,NOC / dispatch (allocated),5878.39,94.31
SITE-10098,TN Border,Suburban,2025,Spares & logistics,3944.97,94.31
SITE-10099,TN Border,Suburban,2025,Tower / Collocation,21907.3,38.74
SITE-10099,TN Border,Suburban,2025,MW transport — 3rd party,15159.14,38.74
SITE-10099,TN Border,Suburban,2025,Fiber backhaul circuit,11010.23,38.74
SITE-10099,TN Border,Suburban,2025,Field workforce (contract),15096.0,38.74
SITE-10099,TN Border,Suburban,2025,OEM RAN maint.,11097.81,38.74
SITE-10099,TN Border,Suburban,2025,Power & gen fuel,5303.04,38.74
SITE-10099,TN Border,Suburban,2025,Small cell attach fees,4454.94,38.74
SITE-10099,TN Border,Suburban,2025,NOC / dispatch (allocated),5941.68,38.74
SITE-10099,TN Border,Suburban,2025,Spares & logistics,4517.26,38.74
SITE-10100,AL Panhandle,Urban,2025,Tower / Collocation,19782.95,16.36
SITE-10100,AL Panhandle,Urban,2025,MW transport — 3rd party,14472.18,16.36
SITE-10100,AL Panhandle,Urban,2025,Fiber backhaul circuit,9747.37,16.36
SITE-10100,AL Panhandle,Urban,2025,Field workforce (contract),14205.27,16.36
SITE-10100,AL Panhandle,Urban,2025,OEM RAN maint.,10511.03,16.36
SITE-10100,AL Panhandle,Urban,2025,Power & gen fuel,5048.03,16.36
SITE-10100,AL Panhandle,Urban,2025,Small cell attach fees,4436.74,16.36
SITE-10100,AL Panhandle,Urban,2025,NOC / dispatch (allocated),5507.17,16.36
SITE-10100,AL Panhandle,Urban,2025,Spares & logistics,4353.54,16.36
SITE-10101,Rural West,Rural,2025,Tower / Collocation,23945.23,31.66
SITE-10101,Rural West,Rural,2025,MW transport — 3rd party,18449.35,31.66
SITE-10101,Rural West,Rural,2025,Fiber backhaul circuit,13345.65,31.66
SITE-10101,Rural West,Rural,2025,Field workforce (contract),21453.84,31.66
SITE-10101,Rural West,Rural,2025,OEM RAN maint.,14550.2,31.66
SITE-10101,Rural West,Rural,2025,Power & gen fuel,5777.32,31.66
SITE-10101,Rural West,Rural,2025,Small cell attach fees,5063.05,31.66
SITE-10101,Rural West,Rural,2025,NOC / dispatch (allocated),7484.32,31.66
SITE-10101,Rural West,Rural,2025,Spares & logistics,4950.14,31.66
SITE-10102,South MS,Rural,2025,Tower / Collocation,25235.78,102.58
SITE-10102,South MS,Rural,2025,MW transport — 3rd party,17073.78,102.58
SITE-10102,South MS,Rural,2025,Fiber backhaul circuit,12119.46,102.58
SITE-10102,South MS,Rural,2025,Field workforce (contract),20326.18,102.58
SITE-10102,South MS,Rural,2025,OEM RAN maint.,14400.23,102.58
SITE-10102,South MS,Rural,2025,Power & gen fuel,5803.18,102.58
SITE-10102,South MS,Rural,2025,Small cell attach fees,4808.85,102.58
SITE-10102,South MS,Rural,2025,NOC / dispatch (allocated),6836.57,102.58
SITE-10102,South MS,Rural,2025,Spares & logistics,4882.49,102.58
SITE-10103,AL Panhandle,Rural,2025,Tower / Collocation,27370.51,59.74
SITE-10103,AL Panhandle,Rural,2025,MW transport — 3rd party,16429.97,59.74
SITE-10103,AL Panhandle,Rural,2025,Fiber backhaul circuit,13001.34,59.74
SITE-10103,AL Panhandle,Rural,2025,Field workforce (contract),21146.1,59.74
SITE-10103,AL Panhandle,Rural,2025,OEM RAN maint.,13606.02,59.74
SITE-10103,AL Panhandle,Rural,2025,Power & gen fuel,6550.88,59.74
SITE-10103,AL Panhandle,Rural,2025,Small cell attach fees,5541.89,59.74
SITE-10103,AL Panhandle,Rural,2025,NOC / dispatch (allocated),7640.13,59.74
SITE-10103,AL Panhandle,Rural,2025,Spares & logistics,4896.46,59.74
SITE-10104,AL Panhandle,Urban,2025,Tower / Collocation,21730.57,33.15
SITE-10104,AL Panhandle,Urban,2025,MW transport — 3rd party,14547.21,33.15
SITE-10104,AL Panhandle,Urban,2025,Fiber backhaul circuit,10557.3,33.15
SITE-10104,AL Panhandle,Urban,2025,Field workforce (contract),16104.28,33.15
SITE-10104,AL Panhandle,Urban,2025,OEM RAN maint.,11808.82,33.15
SITE-10104,AL Panhandle,Urban,2025,Power & gen fuel,4713.69,33.15
SITE-10104,AL Panhandle,Urban,2025,Small cell attach fees,3943.63,33.15
SITE-10104,AL Panhandle,Urban,2025,NOC / dispatch (allocated),6046.68,33.15
SITE-10104,AL Panhandle,Urban,2025,Spares & logistics,4240.61,33.15
SITE-10105,TN Border,Suburban,2025,Tower / Collocation,21808.27,44.42
SITE-10105,TN Border,Suburban,2025,MW transport — 3rd party,15146.45,44.42
SITE-10105,TN Border,Suburban,2025,Fiber backhaul circuit,10574.58,44.42
SITE-10105,TN Border,Suburban,2025,Field workforce (contract),15019.38,44.42
SITE-10105,TN Border,Suburban,2025,OEM RAN maint.,11004.87,44.42
SITE-10105,TN Border,Suburban,2025,Power & gen fuel,5117.89,44.42
SITE-10105,TN Border,Suburban,2025,Small cell attach fees,4124.03,44.42
SITE-10105,TN Border,Suburban,2025,NOC / dispatch (allocated),6011.02,44.42
SITE-10105,TN Border,Suburban,2025,Spares & logistics,4370.12,44.42
SITE-10106,South MS,Urban,2025,Tower / Collocation,22266.02,26.47
SITE-10106,South MS,Urban,2025,MW transport — 3rd party,14731.16,26.47
SITE-10106,South MS,Urban,2025,Fiber backhaul circuit,9922.36,26.47
SITE-10106,South MS,Urban,2025,Field workforce (contract),16255.37,26.47
SITE-10106,South MS,Urban,2025,OEM RAN maint.,11369.08,26.47
SITE-10106,South MS,Urban,2025,Power & gen fuel,5080.49,26.47
SITE-10106,South MS,Urban,2025,Small cell attach fees,4546.17,26.47
SITE-10106,South MS,Urban,2025,NOC / dispatch (allocated),5530.63,26.47
SITE-10106,South MS,Urban,2025,Spares & logistics,4056.32,26.47
SITE-10107,North MS,Suburban,2025,Tower / Collocation,21545.6,25.01
SITE-10107,North MS,Suburban,2025,MW transport — 3rd party,13735.77,25.01
SITE-10107,North MS,Suburban,2025,Fiber backhaul circuit,9800.38,25.01
SITE-10107,North MS,Suburban,2025,Field workforce (contract),14582.7,25.01
SITE-10107,North MS,Suburban,2025,OEM RAN maint.,11282.77,25.01
SITE-10107,North MS,Suburban,2025,Power & gen fuel,4835.73,25.01
SITE-10107,North MS,Suburban,2025,Small cell attach fees,4001.59,25.01
SITE-10107,North MS,Suburban,2025,NOC / dispatch (allocated),6292.99,25.01
SITE-10107,North MS,Suburban,2025,Spares & logistics,4127.87,25.01
SITE-10108,South MS,Suburban,2025,Tower / Collocation,20155.86,39.09
SITE-10108,South MS,Suburban,2025,MW transport — 3rd party,14648.7,39.09
SITE-10108,South MS,Suburban,2025,Fiber backhaul circuit,9978.38,39.09
SITE-10108,South MS,Suburban,2025,Field workforce (contract),16250.72,39.09
SITE-10108,South MS,Suburban,2025,OEM RAN maint.,12209.36,39.09
SITE-10108,South MS,Suburban,2025,Power & gen fuel,4773.46,39.09
SITE-10108,South MS,Suburban,2025,Small cell attach fees,3983.03,39.09
SITE-10108,South MS,Suburban,2025,NOC / dispatch (allocated),5583.79,39.09
SITE-10108,South MS,Suburban,2025,Spares & logistics,4331.31,39.09
SITE-10109,North MS,Urban,2025,Tower / Collocation,21796.07,82.16
SITE-10109,North MS,Urban,2025,MW transport — 3rd party,15130.78,82.16
SITE-10109,North MS,Urban,2025,Fiber backhaul circuit,10515.66,82.16
SITE-10109,North MS,Urban,2025,Field workforce (contract),16515.87,82.16
SITE-10109,North MS,Urban,2025,OEM RAN maint.,10590.83,82.16
SITE-10109,North MS,Urban,2025,Power & gen fuel,5019.43,82.16
SITE-10109,North MS,Urban,2025,Small cell attach fees,4130.28,82.16
SITE-10109,North MS,Urban,2025,NOC / dispatch (allocated),6377.11,82.16
SITE-10109,North MS,Urban,2025,Spares & logistics,4302.27,82.16
SITE-10110,Rural West,Rural,2025,Tower / Collocation,25373.68,130.4
SITE-10110,Rural West,Rural,2025,MW transport — 3rd party,17424.77,130.4
SITE-10110,Rural West,Rural,2025,Fiber backhaul circuit,13645.65,130.4
SITE-10110,Rural West,Rural,2025,Field workforce (contract),20914.14,130.4
SITE-10110,Rural West,Rural,2025,OEM RAN maint.,13616.23,130.4
SITE-10110,Rural West,Rural,2025,Power & gen fuel,6263.8,130.4
SITE-10110,Rural West,Rural,2025,Small cell attach fees,4843.52,130.4
SITE-10110,Rural West,Rural,2025,NOC / dispatch (allocated),7003.6,130.4
SITE-10110,Rural West,Rural,2025,Spares & logistics,4897.2,130.4
SITE-10111,North MS,Urban,2025,Tower / Collocation,21243.35,83.35
SITE-10111,North MS,Urban,2025,MW transport — 3rd party,14068.75,83.35
SITE-10111,North MS,Urban,2025,Fiber backhaul circuit,10318.97,83.35
SITE-10111,North MS,Urban,2025,Field workforce (contract),15132.36,83.35
SITE-10111,North MS,Urban,2025,OEM RAN maint.,11667.38,83.35
SITE-10111,North MS,Urban,2025,Power & gen fuel,5448.24,83.35
SITE-10111,North MS,Urban,2025,Small cell attach fees,4544.29,83.35
SITE-10111,North MS,Urban,2025,NOC / dispatch (allocated),5846.7,83.35
SITE-10111,North MS,Urban,2025,Spares & logistics,4133.9,83.35
SITE-10112,Rural West,Suburban,2025,Tower / Collocation,21475.99,48.18
SITE-10112,Rural West,Suburban,2025,MW transport — 3rd party,14519.53,48.18
SITE-10112,Rural West,Suburban,2025,Fiber backhaul circuit,10171.61,48.18
SITE-10112,Rural West,Suburban,2025,Field workforce (contract),14922.35,48.18
SITE-10112,Rural West,Suburban,2025,OEM RAN maint.,11202.09,48.18
SITE-10112,Rural West,Suburban,2025,Power & gen fuel,4769.23,48.18
SITE-10112,Rural West,Suburban,2025,Small cell attach fees,4022.92,48.18
SITE-10112,Rural West,Suburban,2025,NOC / dispatch (allocated),6162.4,48.18
SITE-10112,Rural West,Suburban,2025,Spares & logistics,4174.59,48.18
SITE-10113,AL Panhandle,Urban,2025,Tower / Collocation,21800.32,56.95
SITE-10113,AL Panhandle,Urban,2025,MW transport — 3rd party,13835.56,56.95
SITE-10113,AL Panhandle,Urban,2025,Fiber backhaul circuit,11019.54,56.95
SITE-10113,AL Panhandle,Urban,2025,Field workforce (contract),16346.53,56.95
SITE-10113,AL Panhandle,Urban,2025,OEM RAN maint.,11602.02,56.95
SITE-10113,AL Panhandle,Urban,2025,Power & gen fuel,5237.86,56.95
SITE-10113,AL Panhandle,Urban,2025,Small cell attach fees,3945.75,56.95
SITE-10113,AL Panhandle,Urban,2025,NOC / dispatch (allocated),6374.13,56.95
SITE-10113,AL Panhandle,Urban,2025,Spares & logistics,4176.89,56.95
SITE-10114,Rural West,Rural,2025,Tower / Collocation,23505.37,11.76
SITE-10114,Rural West,Rural,2025,MW transport — 3rd party,17945.94,11.76
SITE-10114,Rural West,Rural,2025,Fiber backhaul circuit,12816.84,11.76
SITE-10114,Rural West,Rural,2025,Field workforce (contract),19705.83,11.76
SITE-10114,Rural West,Rural,2025,OEM RAN maint.,14382.44,11.76
SITE-10114,Rural West,Rural,2025,Power & gen fuel,6528.2,11.76
SITE-10114,Rural West,Rural,2025,Small cell attach fees,5147.05,11.76
SITE-10114,Rural West,Rural,2025,NOC / dispatch (allocated),7170.5,11.76
SITE-10114,Rural West,Rural,2025,Spares & logistics,4742.51,11.76
SITE-10115,AL Panhandle,Rural,2025,Tower / Collocation,26917.23,51.48
SITE-10115,AL Panhandle,Rural,2025,MW transport — 3rd party,17088.17,51.48
SITE-10115,AL Panhandle,Rural,2025,Fiber backhaul circuit,12821.73,51.48
SITE-10115,AL Panhandle,Rural,2025,Field workforce (contract),20537.55,51.48
SITE-10115,AL Panhandle,Rural,2025,OEM RAN maint.,13091.43,51.48
SITE-10115,AL Panhandle,Rural,2025,Power & gen fuel,6451.83,51.48
SITE-10115,AL Panhandle,Rural,2025,Small cell attach fees,5147.19,51.48
SITE-10115,AL Panhandle,Rural,2025,NOC / dispatch (allocated),7252.09,51.48
SITE-10115,AL Panhandle,Rural,2025,Spares & logistics,5533.5,51.48
SITE-10116,TN Border,Rural,2025,Tower / Collocation,25762.01,34.05
SITE-10116,TN Border,Rural,2025,MW transport — 3rd party,18497.76,34.05
SITE-10116,TN Border,Rural,2025,Fiber backhaul circuit,12434.72,34.05
